aX,aY,aZ,gX,gY,gZ
-0.273,-0.402,0.809,-9.733,-1.122,-3.130
-0.166,-0.444,0.736,-7.733,3.488,-15.191
-0.119,-0.486,0.712,-9.427,12.450,-10.885
-0.169,-0.533,0.694,-4.908,-1.092,9.542
-0.239,-0.495,0.746,-4.069,2.939,14.290
-0.254,-0.464,0.744,-7.763,4.465,4.550
-0.239,-0.466,0.740,-4.053,4.542,4.428
-0.232,-0.477,0.731,-7.763,-2.802,4.641
-0.208,-0.503,0.692,-4.695,0.129,0.840
-0.224,-0.519,0.701,-4.359,3.809,-1.084
-0.242,-0.502,0.705,-2.114,-1.306,-2.137

-0.553,0.700,-1.391,21.199,289.855,2.580
-0.704,0.831,-1.527,6.756,263.137,16.855
-1.189,1.424,-1.904,-28.527,190.939,68.565
-1.255,1.198,-0.398,103.412,-38.619,89.802
-1.364,0.862,-0.657,-41.962,-159.611,79.161
-1.280,0.698,-0.934,-102.908,-233.397,79.023
-1.378,0.711,-0.844,-149.916,-198.252,-10.610
-1.644,0.613,-0.965,-172.221,-353.641,25.603
-1.170,0.724,-0.367,-190.389,-391.290,-23.664
-0.805,0.444,-0.198,-193.672,-389.092,66.932
-0.765,0.157,0.122,-212.435,-298.267,-11.191
-0.345,-0.078,0.035,-199.229,-269.214,-60.839
-0.018,-0.111,0.523,-149.672,-174.756,-92.901
-0.079,-0.651,0.268,-164.664,-93.367,-106.931
0.366,-2.000,-0.255,-193.733,-157.031,64.916
-0.203,-1.944,-0.333,132.466,73.763,-0.229
-0.072,0.243,1.138,-21.809,184.771,-193.832
0.274,-0.425,0.785,50.863,-119.046,104.641
0.138,-0.719,0.696,0.450,-2.955,37.771
-0.291,-0.615,0.841,4.359,-39.443,23.878
-0.176,-0.602,0.728,4.084,-14.573,10.351
0.001,-0.536,0.668,-4.053,16.099,-29.572
0.039,-0.552,0.671,10.298,-13.474,10.183
-0.007,-0.626,0.694,21.962,-27.336,-0.473
-0.014,-0.556,0.773,6.435,3.519,-14.778
0.011,-0.541,0.762,8.557,-3.321,-3.236
0.059,-0.536,0.739,1.748,-5.061,1.115
-0.003,-0.542,0.770,-0.008,-4.313,-0.580
0.039,-0.581,0.708,1.168,-4.191,-1.084
0.017,-0.560,0.746,-0.130,-2.100,-0.962

-0.930,0.591,-1.065,59.596,248.435,-21.526
-1.024,0.629,-1.088,66.160,239.565,-16.580
-1.319,0.811,-1.073,73.107,221.183,2.519
-1.712,0.616,-0.487,94.908,37.870,34.932
-0.831,0.733,-0.204,36.756,-28.802,3.405
-1.262,0.085,-0.426,-37.717,-11.809,11.695
-1.121,0.020,-0.497,-21.198,-5.092,-42.672
-0.976,-0.102,-0.573,-7.107,-42.222,11.435
-1.252,-0.018,-0.336,-18.389,-68.390,21.328
-1.190,0.130,-0.419,-21.076,-166.008,55.267
-1.089,0.272,-0.159,-49.458,-123.794,0.229
-1.080,0.121,-0.215,-68.771,-182.237,29.848
-0.703,-0.028,-0.121,-59.183,-63.092,-39.130
-0.843,-0.191,0.015,-43.901,-42.649,-9.236
-0.882,-0.110,0.115,-44.359,27.427,-36.626
-0.967,-0.030,0.148,-37.809,-31.413,14.351
-1.079,-0.065,0.078,-25.336,-110.206,35.634
-1.125,0.141,0.281,-55.779,-106.939,18.245
-0.983,0.133,0.263,-55.443,-170.100,30.916
-0.840,0.209,0.380,-70.252,-188.206,31.054
-0.849,0.204,0.525,-100.069,-233.519,50.947
-0.627,0.290,0.641,-138.114,-240.619,58.382
-0.698,0.240,0.689,-157.153,-333.306,76.519
-0.248,0.223,0.570,-204.099,-306.390,54.901
