aX,aY,aZ,gX,gY,gZ
0.787,1.308,0.090,-180.817,21.407,-383.696
0.006,1.284,0.035,-210.527,26.277,-232.810
0.846,1.740,-0.294,-105.275,110.689,26.625
0.402,1.558,-0.058,100.587,-28.333,183.678
0.296,1.743,0.095,64.190,-17.295,131.693
0.642,1.772,-0.054,88.969,10.766,375.892
0.571,1.533,-0.118,45.824,102.735,501.602
0.526,1.125,-0.059,7.289,119.529,501.602
0.376,0.554,0.024,19.045,104.170,501.602
0.318,0.143,0.012,28.419,74.598,467.388
0.146,0.214,0.123,36.908,114.995,478.289
-0.330,-0.571,0.081,101.732,129.835,413.357
-0.387,-0.173,-0.041,-16.863,247.697,268.441
-1.225,-0.696,0.112,-14.970,148.583,225.159
-1.603,-0.517,-0.165,-43.459,100.751,156.365
-1.901,-0.679,-0.261,-17.672,-98.639,38.289
-1.369,-0.511,-0.219,2.877,-107.937,-140.856
-0.903,-0.258,-0.103,19.885,-187.723,-219.910
-0.715,-0.202,0.258,26.114,-262.822,-328.826
-0.302,0.046,0.066,-81.566,-246.685,-317.299
0.286,0.230,-0.090,-50.665,-243.830,-258.032
0.534,0.181,-0.166,-79.718,-241.784,-204.017
1.315,0.082,-0.721,-59.596,-116.456,-302.978
1.394,0.155,-0.642,-13.245,-187.219,-165.803
1.677,0.272,-0.569,-73.566,-8.761,-164.658
1.564,0.290,-0.589,-43.230,-39.921,-155.833
2.000,0.333,-0.491,-44.543,-22.746,-166.291
2.000,0.631,-0.856,5.427,90.048,46.411

0.394,0.363,-0.235,7.198,81.376,3.587
0.430,0.115,-0.125,41.320,-7.295,-18.917
0.443,0.212,-0.141,-1.138,0.384,-18.383
1.008,0.355,-0.182,21.793,14.399,-34.795
1.509,0.361,-0.292,-1.672,24.170,-20.322
1.119,0.256,-0.213,-14.955,48.751,21.342
0.726,0.142,-0.153,17.366,-4.303,19.800
0.876,0.229,-0.152,4.129,-7.173,-11.162
1.123,0.293,-0.192,-1.001,8.415,-6.520
1.132,0.268,-0.173,0.633,2.812,9.556
0.955,0.194,-0.193,-6.543,9.667,8.441
0.917,0.190,-0.159,3.976,4.415,-4.520
1.027,0.278,-0.196,-3.108,-2.761,-10.322
1.059,0.265,-0.192,-0.787,4.598,-1.559
0.986,0.234,-0.166,-3.199,0.170,-0.383
0.983,0.225,-0.192,-1.077,-2.608,-4.062
1.027,0.233,-0.209,1.747,0.109,-6.093
1.008,0.254,-0.169,0.190,-0.868,-1.085
1.004,0.252,-0.180,2.541,-0.166,2.579
1.003,0.262,-0.186,-1.917,0.674,-3.818
1.029,0.236,-0.202,4.725,-3.967,7.541
0.994,0.249,-0.191,-0.451,1.789,-2.749
1.001,0.241,-0.198,0.618,1.605,-1.482
1.013,0.240,-0.195,1.213,1.224,-1.803
1.018,0.275,-0.204,-0.512,-3.967,3.983
1.009,0.235,-0.202,1.167,2.277,0.838
1.001,0.228,-0.190,2.236,1.896,-1.513
1.009,0.262,-0.194,0.236,-4.227,2.609
1.029,0.234,-0.193,0.709,2.751,1.174
0.984,0.235,-0.179,-0.726,4.201,-4.246

0.887,1.278,-1.128,-94.543,-266.761,166.121
0.452,1.324,-0.795,-172.909,-235.540,42.182
1.480,2.000,-0.872,-354.146,-53.769,-455.696
0.911,1.985,-0.254,-112.726,15.438,-40.261
0.603,2.000,-0.143,-110.680,45.132,99.678
0.374,1.773,0.105,-51.520,85.499,407.785
0.531,1.292,-0.122,74.786,56.827,501.602
